Combo_ID,Target_1_Pct,Target_2_Pct,Target_3_Pct,Stop_Loss_Pct,Max_Holding_Days,Enable_Trailing_SL,Trailing_SL_Pct,Trail_Trigger,T1_Book_Pct,T2_Book_Pct,T3_Runner_Pct,Allocation_Profile,Total_Trades,Completed_Trades,Wins,Losses,Win_Rate_Pct,Avg_Return_Pct,Profit_Factor,T1_Hit_Count,T1_Hit_Rate_Pct,T2_Hit_Count,T2_Hit_Rate_Pct,T3_Hit_Count,T3_Hit_Rate_Pct,Trail_SL_Hit_Count,SL_Hit_Count,Best_Stock,Worst_Stock,CSV_File
COMBO_0009,3.5,6.0,10.0,2.0,3,False,0.0,None,50.0,30.0,20.0,Balanced_50_30_20,498,468,213,252,45.5,0.35,1.33,148,31.6,52,11.1,60,12.8,24,248,IVC (+5.55%),MOREPENLAB (-2.00%),trades_T1_3.5_T2_6.0_T3_10.0_SL_2.0_H3_NoTSL_Q1_50_Q2_30.csv
COMBO_0049,2.5,5.0,8.0,2.0,7,False,0.0,None,50.0,30.0,20.0,Balanced_50_30_20,498,468,252,214,53.8,0.34,1.38,156,33.3,54,11.5,96,20.5,45,214,IVC (+4.35%),IVP (-2.00%),trades_T1_2.5_T2_5.0_T3_8.0_SL_2.0_H7_NoTSL_Q1_50_Q2_30.csv
COMBO_0018,3.5,6.0,10.0,2.0,5,False,0.0,None,50.0,50.0,0.0,TwoTier_50_50,498,468,213,253,45.5,0.34,1.31,163,34.8,73,15.6,48,10.3,0,253,IVC (+4.75%),MOREPENLAB (-2.00%),trades_T1_3.5_T2_6.0_T3_10.0_SL_2.0_H5_NoTSL_Q1_50_Q2_50.csv
COMBO_0081,3.5,7.0,12.0,2.0,5,False,0.0,None,50.0,30.0,20.0,Balanced_50_30_20,498,468,213,253,45.5,0.34,1.31,163,34.8,59,12.6,48,10.3,26,253,IVC (+6.25%),MOREPENLAB (-2.00%),trades_T1_3.5_T2_7.0_T3_12.0_SL_2.0_H5_NoTSL_Q1_50_Q2_30.csv
COMBO_0017,3.5,6.0,10.0,2.0,5,False,0.0,None,50.0,30.0,20.0,Balanced_50_30_20,498,468,213,253,45.5,0.33,1.31,146,31.2,56,12.0,65,13.9,31,253,IVC (+5.55%),MOREPENLAB (-2.00%),trades_T1_3.5_T2_6.0_T3_10.0_SL_2.0_H5_NoTSL_Q1_50_Q2_30.csv
COMBO_0089,4.0,8.0,12.0,2.0,3,False,0.0,None,50.0,30.0,20.0,Balanced_50_30_20,498,468,188,276,40.2,0.33,1.29,130,27.8,42,9.0,45,9.6,14,271,IVC (+6.80%),MOREPENLAB (-2.00%),trades_T1_4.0_T2_8.0_T3_12.0_SL_2.0_H3_NoTSL_Q1_50_Q2_30.csv
COMBO_0101,4.0,8.0,15.0,2.0,3,False,0.0,None,50.0,30.0,20.0,Balanced_50_30_20,498,468,188,276,40.2,0.33,1.28,143,30.6,55,11.8,32,6.8,21,271,IVC (+7.40%),MOREPENLAB (-2.00%),trades_T1_4.0_T2_8.0_T3_15.0_SL_2.0_H3_NoTSL_Q1_50_Q2_30.csv
COMBO_0026,3.5,6.0,10.0,2.0,7,False,0.0,None,50.0,50.0,0.0,TwoTier_50_50,498,468,212,254,45.3,0.32,1.29,164,35.0,73,15.6,48,10.3,0,254,IVC (+4.75%),MOREPENLAB (-2.00%),trades_T1_3.5_T2_6.0_T3_10.0_SL_2.0_H7_NoTSL_Q1_50_Q2_50.csv
COMBO_0053,3.0,6.0,10.0,2.0,3,False,0.0,None,50.0,30.0,20.0,Balanced_50_30_20,498,468,226,239,48.3,0.31,1.31,162,34.6,52,11.1,60,12.8,24,236,IVC (+5.30%),MODISONLTD (-2.00%),trades_T1_3.0_T2_6.0_T3_10.0_SL_2.0_H3_NoTSL_Q1_50_Q2_30.csv
COMBO_0185,3.5,6.0,10.0,2.0,2,False,0.0,None,33.0,33.0,34.0,Equal_33_33_34,498,468,150,316,32.1,0.31,1.3,146,31.2,55,11.8,49,10.5,17,235,KALYANIFRG (+6.53%),MOREPENLAB (-2.00%),trades_T1_3.5_T2_6.0_T3_10.0_SL_2.0_H2_NoTSL_Q1_33_Q2_33.csv
